patternname,patternnum,set,density,entropy,mean_entropy,H_2,H_mean,LSC,KC,intricacy_4,intricacy_8,local_asymm,Hasymm,Vasymm,quadtree,neighbourhood_size,tot_outertot,IC,num_active_rules
patterns/15by15/experiment/set1/SC0.851_symm0.00_KC234.3_5neigh_outertot_code461_IC1_iter15.png,30,1,0.68,0.904381457724494,0.7933015998764742,3.4324702803370806,4.542719206263433,0.8509743611242978,234.28388916553445,30,14,0.0,0.0,0.0,62,5,outertot,1,6
patterns/15by15/experiment/set1/SC0.862_symm0.00_KC280.2_9neigh_outertot_code736_IC3_iter25.png,31,1,0.5111111111111111,0.9996437496778561,0.9201450244441036,3.498200803950987,4.541809090869188,0.8616630801301176,280.24857972545203,19,4,0.0011140737231213893,32.17391304347826,49.56521739130435,71,9,outertot,3,4
patterns/15by15/experiment/set1/SC0.866_symm0.00_KC265.2_5neigh_outertot_code489_IC1_iter10.png,32,1,0.64,0.9426831892554922,0.8701436335404324,3.425782858972022,4.49519604003732,0.8663616218964029,265.21644496652584,12,8,0.0,0.0,0.0,61,5,outertot,1,6
patterns/15by15/experiment/set1/SC0.871_symm0.01_KC254.1_9neigh_outertot_code15822_IC2_iter40.png,33,1,0.6666666666666666,0.9182958340544896,0.7899124125563094,3.56544392499132,4.585989910339907,0.8714105754840443,254.0935625388947,40,14,0.0038733442165801435,24.666666666666668,38.0,63,9,outertot,2,10
patterns/15by15/experiment/set1/SC0.879_symm0.00_KC256.8_5neigh_outertot_code483_IC1_iter30.png,34,1,0.6622222222222223,0.9226762997922613,0.8586679463206763,3.625437662998988,4.503366358407943,0.879249606699661,256.82260777487284,16,8,0.0,0.0,0.0,63,5,outertot,1,6
patterns/15by15/experiment/set1/SC0.883_symm0.00_KC275.4_5neigh_outertot_code374_IC1_iter15.png,35,1,0.35555555555555557,0.9389320105807949,0.8519422702275217,3.586990529088856,4.569720800477699,0.8830375113014826,275.41510424191006,51,27,0.0,0.0,0.0,70,5,outertot,1,6
patterns/15by15/experiment/set1/SC0.884_symm0.00_KC259.5_5neigh_outertot_code475_IC1_iter40.png,36,1,0.6577777777777778,0.9269293612321838,0.8151576903059713,3.643868007333736,4.548882559108927,0.8840367795437026,259.47649486266437,50,26,0.0,0.0,0.0,74,5,outertot,1,7
patterns/15by15/experiment/set1/SC0.886_symm0.00_KC217.3_5neigh_outertot_code481_IC1_iter20.png,37,1,0.5866666666666667,0.9782176659354248,0.9188295866879053,3.3705954488005343,4.491681987721906,0.8856523366055318,217.27816303178466,36,4,0.0,0.0,0.0,70,5,outertot,1,5
patterns/15by15/experiment/set1/SC0.891_symm0.00_KC248.6_5neigh_outertot_code478_IC1_iter15.png,38,1,0.68,0.904381457724494,0.7942299155009224,3.668895767774771,4.570656473743843,0.8914512980315428,248.60797879571695,33,9,0.0,0.0,0.0,64,5,outertot,1,7
patterns/15by15/experiment/set1/SC0.897_symm0.00_KC262.9_9neigh_outertot_code85507_IC1_iter25.png,39,1,0.41333333333333333,0.9782176659354248,0.8370572245713606,3.240521360403052,4.270144229755426,0.8968360453992711,262.89239403346875,26,26,0.0,0.0,0.0,56,9,outertot,1,7
patterns/15by15/experiment/set1/SC0.902_symm0.00_KC247.6_5neigh_outertot_code462_IC1_iter15.png,40,1,0.5333333333333333,0.9967916319816366,0.8067635634826359,3.5467163996285644,4.5225859345379975,0.901754254458113,247.5749960379489,19,15,0.0,0.0,0.0,55,5,outertot,1,6
patterns/15by15/experiment/set1/SC0.919_symm0.00_KC249.8_5neigh_outertot_code510_IC1_iter25.png,41,1,0.6044444444444445,0.9682913167012346,0.8874728272121595,3.683702265234978,4.579693128761329,0.919023155478392,249.82035299136774,8,8,0.0,0.0,0.0,60,5,outertot,1,8
patterns/15by15/experiment/set1/SC0.940_symm0.00_KC259.8_5neigh_outertot_code467_IC1_iter30.png,42,1,0.4444444444444444,0.9910760598382222,0.8834989040727754,3.799038682671778,4.550600095736039,0.9403083366016083,259.7526929832021,53,21,0.0,0.0,0.0,74,5,outertot,1,6
patterns/15by15/experiment/set1/SC0.943_symm0.00_KC272.9_9neigh_outertot_code736_IC3_iter35.png,43,1,0.5155555555555555,0.9993016941704445,0.9065038898989981,3.8338318774545312,4.624753947923636,0.9433308691412599,272.8720748053182,28,4,0.0014250589563063465,38.793103448275865,44.827586206896555,68,9,outertot,3,4
patterns/15by15/experiment/set1/SC0.944_symm0.00_KC271.6_5neigh_outertot_code461_IC1_iter25.png,44,1,0.5911111111111111,0.9759133517552441,0.8763395042131542,3.88416273525728,4.624367399645442,0.9440777940253114,271.63187607545626,37,10,0.0,0.0,0.0,71,5,outertot,1,6
patterns/15by15/experiment/set1/SC0.949_symm0.00_KC275.9_5neigh_outertot_code454_IC1_iter40.png,45,1,0.4266666666666667,0.9844268978000114,0.8779005412398734,3.8147008546175996,4.588036986890819,0.9491483888636308,275.94387055945344,49,21,0.0,0.0,0.0,76,5,outertot,1,5
patterns/15by15/experiment/set1/SC0.952_symm0.00_KC269.5_9neigh_outertot_code93737_IC2_iter05.png,46,1,0.5511111111111111,0.9924491812352425,0.9018158769986208,3.906338732332287,4.620831399083084,0.9524050653223959,269.52874620222946,23,9,0.0,12.903225806451612,10.483870967741936,64,9,outertot,2,9
patterns/15by15/experiment/set1/SC0.954_symm0.00_KC262.6_5neigh_tot_code52_IC3_iter10.png,47,1,0.4711111111111111,0.9975906044732843,0.8888675115179371,3.9284480016380234,4.644028981567391,0.9535621502450036,262.59215694242596,30,9,0.0007457731514766974,43.39622641509434,49.056603773584904,66,5,tot,3,3
patterns/15by15/experiment/set1/SC0.955_symm0.00_KC259.8_5neigh_outertot_code457_IC1_iter20.png,48,1,0.4266666666666667,0.9844268978000114,0.887093841055894,3.845131459107593,4.6112875194135965,0.9548833500531431,259.83398327968035,30,18,0.0,0.0,0.0,70,5,outertot,1,5
patterns/15by15/experiment/set1/SC0.956_symm0.00_KC274.6_9neigh_outertot_code143954_IC3_iter10.png,49,1,0.4488888888888889,0.9924491812352425,0.8982006560716038,3.9256084271821883,4.643005746416266,0.9561865806476444,274.5953560569316,34,7,0.0026343015281237447,43.56435643564357,58.415841584158414,62,9,outertot,3,7
